Date,SP500,VIX,RealizedVol
2010-01-04,1132.989990234375,20.040000915527344,
2010-01-05,1136.52001953125,19.350000381469727,
2010-01-06,1137.1400146484375,19.15999984741211,
2010-01-07,1141.68994140625,19.059999465942383,
2010-01-08,1144.97998046875,18.1299991607666,
2010-01-11,1146.97998046875,17.549999237060547,
2010-01-12,1136.219970703125,18.25,
2010-01-13,1145.6800537109375,17.850000381469727,
2010-01-14,1148.4599609375,17.6299991607666,
2010-01-15,1136.030029296875,17.90999984741211,
2010-01-19,1150.22998046875,17.579999923706055,
2010-01-20,1138.0400390625,18.68000030517578,
2010-01-21,1116.47998046875,22.270000457763672,
2010-01-22,1091.760009765625,27.309999465942383,
2010-01-25,1096.780029296875,25.40999984741211,
2010-01-26,1092.1700439453125,24.549999237060547,
2010-01-27,1097.5,23.139999389648438,
2010-01-28,1084.530029296875,23.729999542236328,
2010-01-29,1073.8699951171875,24.6200008392334,
2010-02-01,1089.18994140625,22.59000015258789,
2010-02-02,1103.3199462890625,21.479999542236328,
2010-02-03,1097.280029296875,21.600000381469727,
2010-02-04,1063.1099853515625,26.079999923706055,
2010-02-05,1066.18994140625,26.110000610351562,
2010-02-08,1056.739990234375,26.510000228881836,
2010-02-09,1070.52001953125,26.0,
2010-02-10,1068.1300048828125,25.399999618530273,
2010-02-11,1078.469970703125,23.959999084472656,
2010-02-12,1075.510009765625,22.729999542236328,
2010-02-16,1094.8699951171875,22.25,
2010-02-17,1099.510009765625,21.719999313354492,
2010-02-18,1106.75,20.6299991607666,0.011328788929137428
2010-02-19,1109.1700439453125,20.020000457763672,0.01137781689947837
2010-02-22,1108.010009765625,19.940000534057617,0.01138436789840198
2010-02-23,1094.5999755859375,21.3700008392334,0.01136260554662013
2010-02-24,1105.239990234375,20.270000457763672,0.01156612055676669
2010-02-25,1102.93994140625,20.100000381469727,0.01169584754218969
2010-02-26,1104.489990234375,19.5,0.011574809154950325
2010-03-01,1115.7099609375,19.260000228881836,0.01147825520935331
2010-03-02,1118.31005859375,19.059999465942383,0.011617219468994586
2010-03-03,1118.7900390625,18.829999923706055,0.011453953181485637
2010-03-04,1122.969970703125,18.719999313354492,0.011227444943624263
2010-03-05,1138.699951171875,17.420000076293945,0.011078592344498319
2010-03-08,1138.5,17.790000915527344,0.010816227314009209
2010-03-09,1140.449951171875,17.920000076293945,0.01001407643726209
2010-03-10,1145.6099853515625,18.56999969482422,0.009983877938302662
