Date,AbsReturn_Lag_1,AbsReturn_Lag_2,AbsReturn_Lag_3,AbsReturn_Lag_4,AbsReturn_Lag_5,AbsReturn_RollStd,AbsReturn_RollMean,VIX_Lag_1,Target_Vol
2010-02-17,0.017840653536261433,0.0027483661199411307,0.009633882335101287,0.0022350694280074235,0.012955841773586368,0.0066899291745704005,0.009082762638579527,22.25,0.011328788929137428
2010-02-18,0.0042290045967103744,0.017840653536261433,0.0027483661199411307,0.009633882335101287,0.0022350694280074235,0.006564055475917992,0.007337395203204329,21.719999313354492,0.01137781689947837
2010-02-19,0.006563157733795463,0.0042290045967103744,0.017840653536261433,0.0027483661199411307,0.009633882335101287,0.005982611111169897,0.008203012864361937,20.6299991607666,0.01138436789840198
2010-02-22,0.0021842348635910053,0.006563157733795463,0.0042290045967103744,0.017840653536261433,0.0027483661199411307,0.006446809182073879,0.006713083370059882,20.020000457763672,0.01136260554662013
2010-02-23,0.0010464051249203224,0.0021842348635910053,0.006563157733795463,0.0042290045967103744,0.017840653536261433,0.00674644943164778,0.00637269117105572,19.940000534057617,0.01156612055676669
2010-02-24,0.0121766449451987,0.0010464051249203224,0.0021842348635910053,0.006563157733795463,0.0042290045967103744,0.004410607658639851,0.005239889452843173,21.3700008392334,0.01169584754218969
2010-02-25,0.009673519697189884,0.0121766449451987,0.0010464051249203224,0.0021842348635910053,0.006563157733795463,0.0047571125614485794,0.006328792472939075,20.270000457763672,0.011574809154950325
2010-02-26,0.0020832085528651543,0.009673519697189884,0.0121766449451987,0.0010464051249203224,0.0021842348635910053,0.00511068846886889,0.005432802636753014,20.100000381469727,0.01147825520935331
2010-03-01,0.0014043925568579447,0.0020832085528651543,0.009673519697189884,0.0121766449451987,0.0010464051249203224,0.0052447547820088074,0.0052768341754064006,19.5,0.011617219468994586
2010-03-02,0.010107257423603737,0.0014043925568579447,0.0020832085528651543,0.009673519697189884,0.0121766449451987,0.004976104420714926,0.007089004635143084,19.260000228881836,0.011453953181485637
2010-03-03,0.0023277310028862693,0.010107257423603737,0.0014043925568579447,0.0020832085528651543,0.009673519697189884,0.004371266473561765,0.005119221846680598,19.059999465942383,0.011227444943624263
2010-03-04,0.00042910952140039855,0.0023277310028862693,0.010107257423603737,0.0014043925568579447,0.0020832085528651543,0.0038921582426875993,0.0032703398115227003,18.829999923706055,0.011078592344498319
2010-03-05,0.00372915607957138,0.00042910952140039855,0.0023277310028862693,0.010107257423603737,0.0014043925568579447,0.003835850174175677,0.0035995293168639463,18.719999313354492,0.010816227314009209
2010-03-08,0.013910282801603982,0.00372915607957138,0.00042910952140039855,0.0023277310028862693,0.010107257423603737,0.005680416800291081,0.006100707365813153,17.420000076293945,0.01001407643726209
2010-03-09,0.00017561143217653642,0.013910282801603982,0.00372915607957138,0.00042910952140039855,0.0023277310028862693,0.005665583379880788,0.004114378167527713,17.790000915527344,0.009983877938302662
2010-03-10,0.0017112720239721047,0.00017561143217653642,0.013910282801603982,0.00372915607957138,0.00042910952140039855,0.005720623804474087,0.003991086371744881,17.920000076293945,0.009988280682039155
2010-03-11,0.00451435490421295,0.0017112720239721047,0.00017561143217653642,0.013910282801603982,0.00372915607957138,0.005365408459669808,0.004808135448307391,18.56999969482422,0.009975871657420764
2010-03-12,0.00403337431350597,0.00451435490421295,0.0017112720239721047,0.00017561143217653642,0.013910282801603982,0.005351821660599654,0.004868979095094308,18.059999465942383,0.009736974513970185
2010-03-15,0.0002173695700926971,0.00403337431350597,0.00451435490421295,0.0017112720239721047,0.00017561143217653642,0.0020591930612533197,0.0021303964487920514,17.579999923706055,0.009568862095776202
2010-03-16,0.00045209262343589776,0.0002173695700926971,0.00403337431350597,0.00451435490421295,0.0017112720239721047,0.0019963300800000367,0.002185692687043924,18.0,0.00932073853695207
2010-03-17,0.007749014983159959,0.00045209262343589776,0.0002173695700926971,0.00403337431350597,0.00451435490421295,0.003137512834631901,0.003393241278881495,17.690000534057617,0.009080823967336065
2010-03-18,0.005804795332563638,0.007749014983159959,0.00045209262343589776,0.0002173695700926971,0.00403337431350597,0.0033015752695880717,0.0036513293645516324,16.90999984741211,0.009025545524400644
2010-03-19,0.00032589912668909416,0.005804795332563638,0.007749014983159959,0.00045209262343589776,0.0002173695700926971,0.0035973966460038356,0.002909834327188257,16.6200008392334,0.006997597022126376
